BRB	Be Right Back
FHO	Friends Hanging Out
LOL	Laughing Out Loud
DIKY	Do I Know You
PFA	Please Find Attachment, Predictive Failure Analysis
ETA	Estimated Time of Arrival
LMAO	Laughing My A** Off
OK	Olla Kalla or Oll Korrect
DP	Display Picture
FYI	For Your Information
TTYL	Talk To You Later
ROFL	Rolling On Floor Laughing
TBH	To Be Honest
LMK	Let Me Know
PNL	Peace and Love
TAY	Thinking About You
TLTR	Too Long To Read
YSVW	You’re So Very Welcome
ULM	You Love me
QAP	Quick As Possible Quickly As Possible
